Index       TIME             V(IN_1)           V(IN_2)           V(IN_3)          V(OUT_1)          V(OUT_2)          V(OUT_3)          I(VROW_1)         I(VROW_2)         I(VROW_3)        I(RLOAD_1)        I(RLOAD_2)        I(RLOAD_3)    
32       1.00208000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.94430453e-31    0.00000000e+00    9.14816724e-34   -9.62964972e-34   -4.81482486e-34    0.00000000e+00    3.94430453e-35    0.00000000e+00
33       1.00224000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -2.21481944e-33    2.31111593e-33   -4.81482486e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
34       1.00256000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
35       1.00320000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
36       1.00448000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
37       1.00704000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
38       1.01216000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
39       1.02240000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
40       1.04288000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
41       1.08384000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
42       1.16576000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
